benchmark,backend,input_size_tier,run_index,wall_seconds,peak_rss_bytes,avg_cpu_percent,success,error
group_anagrams_small,python,small,0,0.00014308304525911808,13107200,0.2,True,
group_anagrams_small,python,small,1,0.00010912492871284485,13680640,0.2,True,
group_anagrams_small,python,small,2,0.003127958858385682,13959168,0.6,True,
group_anagrams_small,python,small,3,0.00012829084880650043,13762560,0.3,True,
group_anagrams_small,python,small,4,0.00012824987061321735,13434880,0.3,True,
group_anagrams_small,python,small,5,0.00012612505815923214,13451264,0.4,True,
group_anagrams_small,python,small,6,0.00012312503531575203,13352960,0.5,True,
group_anagrams_small,python,small,7,0.00014654197730123997,13189120,0.5,True,
group_anagrams_small,python,small,8,0.00013004080392420292,13352960,0.6,True,
group_anagrams_small,python,small,9,0.00012216717004776,13500416,0.3,True,
group_anagrams_medium,python,medium,0,0.0003694170154631138,13582336,0.8,True,
group_anagrams_medium,python,medium,1,0.004115040879696608,14352384,0.4,True,
group_anagrams_medium,python,medium,2,0.00043541681952774525,14090240,0.5,True,
group_anagrams_medium,python,medium,3,0.0009200000204145908,14073856,0.5,True,
group_anagrams_medium,python,medium,4,0.00034241704270243645,13795328,0.5,True,
group_anagrams_medium,python,medium,5,0.00033624982461333275,13467648,0.3,True,
group_anagrams_medium,python,medium,6,0.0003642081283032894,13778944,0.3,True,
group_anagrams_medium,python,medium,7,0.000341624952852726,13533184,0.8,True,
group_anagrams_medium,python,medium,8,0.00033108307980000973,13697024,0.4,True,
group_anagrams_medium,python,medium,9,0.0003355839289724827,13713408,0.4,True,
group_anagrams_large,python,large,0,0.003966624848544598,15679488,0.7,True,
group_anagrams_large,python,large,1,0.004988375119864941,15548416,0.3,True,
group_anagrams_large,python,large,2,0.004050250165164471,15564800,0.6,True,
group_anagrams_large,python,large,3,0.004204709082841873,15745024,0.4,True,
group_anagrams_large,python,large,4,0.011038708966225386,15810560,0.4,True,
group_anagrams_large,python,large,5,0.004241541959345341,15400960,0.3,True,
group_anagrams_large,python,large,6,0.0038417079485952854,15482880,0.3,True,
