benchmark,backend,input_size_tier,run_index,wall_seconds,peak_rss_bytes,avg_cpu_percent,success,error
is_pangram_small,python,small,0,0.0007680419366806746,13631488,0.4,True,
is_pangram_small,python,small,1,0.0007755409460514784,13598720,0.6,True,
is_pangram_small,python,small,2,0.0007617499213665724,13664256,0.1,True,
is_pangram_small,python,small,3,0.0008341670036315918,13844480,0.2,True,
is_pangram_small,python,small,4,0.0007749591022729874,13729792,0.1,True,
is_pangram_small,python,small,5,0.0007740829605609179,13959168,0.1,True,
is_pangram_small,python,small,6,0.0007543750107288361,13647872,0.2,True,
is_pangram_small,python,small,7,0.0007672919891774654,13795328,0.3,True,
is_pangram_small,python,small,8,0.000793500104919076,13418496,0.1,True,
is_pangram_small,python,small,9,0.001183458138257265,13484032,0.1,True,
is_pangram_medium,python,medium,0,0.0007403339259326458,13795328,0.2,True,
is_pangram_medium,python,medium,1,0.000853958074003458,13844480,0.1,True,
is_pangram_medium,python,medium,2,0.0007548329886049032,13647872,0.1,True,
is_pangram_medium,python,medium,3,0.0007860839832574129,13484032,0.1,True,
is_pangram_medium,python,medium,4,0.0007869580294936895,13385728,0.4,True,
is_pangram_medium,python,medium,5,0.00076299998909235,13385728,0.7,True,
is_pangram_medium,python,medium,6,0.0007738748099654913,13795328,0.3,True,
is_pangram_medium,python,medium,7,0.0007671250496059656,13647872,0.3,True,
is_pangram_medium,python,medium,8,0.0007770410738885403,13713408,0.1,True,
is_pangram_medium,python,medium,9,0.0007670419290661812,13697024,0.2,True,
is_pangram_large,python,large,0,0.0007718750275671482,13565952,0.3,True,
is_pangram_large,python,large,1,0.0008272500708699226,13615104,0.2,True,
is_pangram_large,python,large,2,0.0008229578379541636,13647872,0.7,True,
is_pangram_large,python,large,3,0.0007579580415040255,13762560,0.5,True,
is_pangram_large,python,large,4,0.0008082080166786909,13565952,0.1,True,
is_pangram_large,python,large,5,0.000782625051215291,13451264,0.6,True,
is_pangram_large,python,large,6,0.0007585410494357347,13680640,0.3,True,
is_pangram_large,python,large,7,0.0007669168990105391,13795328,0.4,True,
is_pangram_large,python,large,8,0.0007682088762521744,13647872,0.8,True,
is_pangram_large,python,large,9,0.0007708340417593718,13959168,0.1,True,
is_pangram_xlarge,python,xlarge,0,0.0007727500051259995,13828096,0.2,True,
is_pangram_xlarge,python,xlarge,1,0.0008064170833677053,13451264,0.7,True,
is_pangram_xlarge,python,xlarge,2,0.0007741670124232769,13631488,0.1,True,
is_pangram_xlarge,python,xlarge,3,0.0007915419992059469,13811712,0.2,True,
is_pangram_xlarge,python,xlarge,4,0.0007887082174420357,13500416,0.7,True,
is_pangram_xlarge,python,xlarge,5,0.0007588749285787344,13664256,0.1,True,
is_pangram_xlarge,python,xlarge,6,0.000779750058427453,13631488,0.1,True,
