benchmark,backend,input_size_tier,run_index,wall_seconds,peak_rss_bytes,avg_cpu_percent,success,error
roman_to_int_small,python,small,0,0.0007467500399798155,13713408,0.1,True,
roman_to_int_small,python,small,1,0.0007635420188307762,13664256,0.1,True,
roman_to_int_small,python,small,2,0.0009322918485850096,13549568,0.2,True,
roman_to_int_small,python,small,3,0.0009568748064339161,13697024,0.4,True,
roman_to_int_small,python,small,4,0.0008361251093447208,13680640,0.5,True,
roman_to_int_small,python,small,5,0.0009776251390576363,13664256,0.2,True,
roman_to_int_small,python,small,6,0.000849833944812417,13615104,0.2,True,
roman_to_int_small,python,small,7,0.0008479170501232147,13729792,0.1,True,
roman_to_int_small,python,small,8,0.0008144997991621494,13844480,0.3,True,
roman_to_int_small,python,small,9,0.0008286249358206987,13893632,0.3,True,
roman_to_int_medium,python,medium,0,0.0007838751189410686,13680640,0.2,True,
roman_to_int_medium,python,medium,1,0.0007837498560547829,13893632,0.4,True,
roman_to_int_medium,python,medium,2,0.000754666980355978,13991936,0.3,True,
roman_to_int_medium,python,medium,3,0.0007849580142647028,13647872,0.3,True,
roman_to_int_medium,python,medium,4,0.000774916959926486,13582336,0.3,True,
roman_to_int_medium,python,medium,5,0.0007559158839285374,13631488,0.3,True,
roman_to_int_medium,python,medium,6,0.0007466659881174564,13467648,0.4,True,
roman_to_int_medium,python,medium,7,0.0009892499074339867,13926400,0.3,True,
roman_to_int_medium,python,medium,8,0.0007579168304800987,13697024,0.4,True,
roman_to_int_medium,python,medium,9,0.0008370000869035721,13860864,0.1,True,
roman_to_int_large,python,large,0,0.0007709581404924393,13533184,0.2,True,
roman_to_int_large,python,large,1,0.0007454589940607548,13729792,0.2,True,
roman_to_int_large,python,large,2,0.0007581249810755253,13533184,0.7,True,
roman_to_int_large,python,large,3,0.0007557501085102558,13516800,0.1,True,
roman_to_int_large,python,large,4,0.0007676659151911736,13615104,0.6,True,
roman_to_int_large,python,large,5,0.0007372500840574503,13811712,0.2,True,
roman_to_int_large,python,large,6,0.0007361250463873148,13860864,0.2,True,
roman_to_int_large,python,large,7,0.0007382920011878014,13615104,0.2,True,
roman_to_int_large,python,large,8,0.0007410421967506409,13615104,0.1,True,
roman_to_int_large,python,large,9,0.000757541973143816,13565952,0.2,True,
roman_to_int_xlarge,python,xlarge,0,0.0008230831008404493,13565952,0.3,True,
roman_to_int_xlarge,python,xlarge,1,0.0008474171627312899,13549568,0.8,True,
roman_to_int_xlarge,python,xlarge,2,0.0007633338682353497,13615104,0.3,True,
roman_to_int_xlarge,python,xlarge,3,0.0007732079830020666,13582336,0.3,True,
roman_to_int_xlarge,python,xlarge,4,0.0007646668236702681,13647872,0.3,True,
roman_to_int_xlarge,python,xlarge,5,0.0007590421009808779,13746176,0.2,True,
roman_to_int_xlarge,python,xlarge,6,0.0007657089736312628,13434880,0.6,True,
roman_to_int_xlarge,python,xlarge,7,0.0007478329353034496,13467648,0.2,True,
roman_to_int_xlarge,python,xlarge,8,0.0007546250708401203,13582336,0.1,True,
roman_to_int_xlarge,python,xlarge,9,0.0007684160955250263,13533184,0.1,True,
roman_to_int_small,rust,small,0,0.0007376659195870161,13664256,0.2,True,
roman_to_int_small,rust,small,1,0.0008180830627679825,13795328,0.1,True,
roman_to_int_small,rust,small,2,0.0008000410161912441,13631488,0.2,True,
roman_to_int_small,rust,small,3,0.0007192080374807119,13860864,0.1,True,
roman_to_int_small,rust,small,4,0.0008151659276336432,13467648,0.3,True,
roman_to_int_small,rust,small,5,0.0007045839447528124,13615104,0.1,True,
roman_to_int_small,rust,small,6,0.0008636668790131807,13484032,0.1,True,
roman_to_int_small,rust,small,7,0.0010109590366482735,13762560,0.1,True,
roman_to_int_small,rust,small,8,0.0007972910534590483,13631488,0.2,True,
roman_to_int_small,rust,small,9,0.0007726671174168587,13615104,0.2,True,
roman_to_int_medium,rust,medium,0,0.0007352081593126059,13484032,0.3,True,
roman_to_int_medium,rust,medium,1,0.0007214588113129139,13729792,0.1,True,
